"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
153922,"2013098","4311111100","43111004","충청북도 청주시 상당구4","충청북도 청주시 상당구 석교동(승차권판매소 부근)",4,4,0,3,1,0,127.490804802401,36.6276117649718,"{""type"":""Polygon"",""coordinates"":[[[127.4923859,36.6288862],[127.4920471,36.6291103],[127.4916605,36.6292768],[127.491241,36.6293794],[127.4908048,36.629414],[127.4903686,36.6293794],[127.4899491,36.6292768],[127.4895625,36.6291103],[127.4892237,36.6288862],[127.4889456,36.628613],[127.488739,36.6283014],[127.4886117,36.6279634],[127.4885688,36.6276117],[127.4886117,36.6272601],[127.488739,36.626922],[127.4889456,36.6266105],[127.4892237,36.6263374],[127.4895625,36.6261132],[127.4899491,36.6259467],[127.4903686,36.6258441],[127.4908048,36.6258095],[127.491241,36.6258441],[127.4916605,36.6259467],[127.4920471,36.6261132],[127.4923859,36.6263374],[127.492664,36.6266105],[127.4928706,36.626922],[127.4929979,36.6272601],[127.4930408,36.6276117],[127.4929979,36.6279634],[127.4928707,36.6283014],[127.492664,36.628613],[127.4923859,36.6288862]]]}"
153926,"2013098","4513012600","45130003","전라북도 군산시3","전라북도 군산시 중앙로3가(군산역앞사거리 부근)",6,6,1,5,0,0,126.71946668594,35.9799533463707,"{""type"":""Polygon"",""coordinates"":[[[126.7210348,35.9812279],[126.7206988,35.981452],[126.7203154,35.9816186],[126.7198993,35.9817212],[126.7194667,35.9817558],[126.719034,35.9817212],[126.718618,35.9816186],[126.7182346,35.981452],[126.7178986,35.9812279],[126.7176228,35.9809547],[126.7174178,35.9806431],[126.7172917,35.980305],[126.7172491,35.9799533],[126.7172917,35.9796017],[126.7174179,35.9792636],[126.7176228,35.9789519],[126.7178986,35.9786788],[126.7182347,35.9784546],[126.7186181,35.9782881],[126.7190341,35.9781855],[126.7194667,35.9781509],[126.7198993,35.9781855],[126.7203153,35.9782881],[126.7206987,35.9784546],[126.7210348,35.9786788],[126.7213106,35.9789519],[126.7215155,35.9792636],[126.7216417,35.9796017],[126.7216843,35.9799533],[126.7216417,35.980305],[126.7215155,35.9806431],[126.7213106,35.9809547],[126.7210348,35.9812279]]]}"
138697,"2013098","1153010200","11530001","서울특별시 구로구1","서울특별시 구로구 구로동(한국인력관리공단 부근)",3,3,0,2,1,0,126.892435586534,37.4859329212682,"{""type"":""Polygon"",""coordinates"":[[[126.8940346,37.4872071],[126.893692,37.4874312],[126.893301,37.4875978],[126.8928768,37.4877003],[126.8924356,37.4877349],[126.8919944,37.4877003],[126.8915702,37.4875978],[126.8911792,37.4874312],[126.8908365,37.4872071],[126.8905553,37.4869341],[126.8903463,37.4866225],[126.8902177,37.4862845],[126.8901742,37.4859329],[126.8902177,37.4855813],[126.8903464,37.4852433],[126.8905554,37.4849318],[126.8908366,37.4846587],[126.8911793,37.4844346],[126.8915702,37.4842681],[126.8919944,37.4841655],[126.8924356,37.4841309],[126.8928767,37.4841655],[126.893301,37.4842681],[126.8936919,37.4844346],[126.8940346,37.4846587],[126.8943158,37.4849318],[126.8945248,37.4852433],[126.8946535,37.4855813],[126.894697,37.4859329],[126.8946535,37.4862845],[126.8945248,37.4866225],[126.8943159,37.4869341],[126.8940346,37.4872071]]]}"
138674,"2013098","2915510400","29155004","광주광역시 남구4","광주광역시 남구 월산동(수복정 부근)",3,3,0,3,0,0,126.896041752826,35.1511486932585,"{""type"":""Polygon"",""coordinates"":[[[126.8975938,35.1524234],[126.8972612,35.1526476],[126.8968817,35.1528142],[126.89647,35.1529168],[126.8960418,35.1529514],[126.8956135,35.1529168],[126.8952018,35.1528142],[126.8948223,35.1526476],[126.8944897,35.1524234],[126.8942167,35.1521502],[126.8940139,35.1518385],[126.893889,35.1515004],[126.8938468,35.1511487],[126.893889,35.150797],[126.8940139,35.1504588],[126.8942168,35.1501471],[126.8944897,35.149874],[126.8948223,35.1496498],[126.8952018,35.1494832],[126.8956136,35.1493806],[126.8960418,35.149346],[126.8964699,35.1493806],[126.8968817,35.1494832],[126.8972612,35.1496498],[126.8975938,35.149874],[126.8978667,35.1501471],[126.8980696,35.1504588],[126.8981945,35.150797],[126.8982367,35.1511487],[126.8981945,35.1515004],[126.8980696,35.1518385],[126.8978668,35.1521502],[126.8975938,35.1524234]]]}"
5299137,"2014105","5013010500","50130003","제주특별자치도 서귀포시3","제주특별자치도 서귀포시 동홍동(동화공부방 부근)",3,3,0,2,1,0,126.560157882881,33.258295906132,"{""type"":""Polygon"",""coordinates"":[[[126.5616756,33.259571],[126.5613504,33.2597953],[126.5609793,33.2599619],[126.5605766,33.2600645],[126.5601579,33.2600992],[126.5597391,33.2600645],[126.5593365,33.2599619],[126.5589654,33.2597953],[126.5586401,33.259571],[126.5583732,33.2592977],[126.5581749,33.258986],[126.5580527,33.2586477],[126.5580115,33.2582959],[126.5580527,33.2579441],[126.5581749,33.2576058],[126.5583732,33.257294],[126.5586402,33.2570208],[126.5589654,33.2567965],[126.5593365,33.2566299],[126.5597392,33.2565273],[126.5601579,33.2564926],[126.5605766,33.2565273],[126.5609793,33.2566299],[126.5613503,33.2567965],[126.5616756,33.2570208],[126.5619425,33.257294],[126.5621409,33.2576058],[126.562263,33.2579441],[126.5623043,33.2582959],[126.562263,33.2586477],[126.5621409,33.258986],[126.5619426,33.2592977],[126.5616756,33.259571]]]}"
5301959,"2014105","2920012700","29200002","광주광역시 광산구2","광주광역시 광산구 산정동(구두종합병원 부근)",3,3,0,2,1,0,126.802206015696,35.1641069670638,"{""type"":""Polygon"",""coordinates"":[[[126.8037583,35.1653817],[126.8034257,35.1656059],[126.8030461,35.1657725],[126.8026343,35.165875],[126.802206,35.1659097],[126.8017777,35.165875],[126.8013659,35.1657725],[126.8009864,35.1656059],[126.8006537,35.1653817],[126.8003807,35.1651085],[126.8001778,35.1647968],[126.8000529,35.1644586],[126.8000108,35.1641069],[126.8000529,35.1637553],[126.8001779,35.1634171],[126.8003807,35.1631054],[126.8006538,35.1628322],[126.8009864,35.1626081],[126.8013659,35.1624415],[126.8017778,35.1623389],[126.802206,35.1623042],[126.8026343,35.1623389],[126.8030461,35.1624415],[126.8034256,35.1626081],[126.8037583,35.1628322],[126.8040313,35.1631054],[126.8042342,35.1634171],[126.8043591,35.1637553],[126.8044013,35.1641069],[126.8043591,35.1644586],[126.8042342,35.1647968],[126.8040313,35.1651085],[126.8037583,35.1653817]]]}"
5315582,"2014105","4721010400","47210004","경상북도 영주시4","경상북도 영주시 휴천동(세영첼시빌아파트 부근)",3,3,0,2,1,0,128.637612928095,36.8179685285257,"{""type"":""Polygon"",""coordinates"":[[[128.639198,36.8192429],[128.6388583,36.819467],[128.6384708,36.8196336],[128.6380502,36.8197361],[128.6376129,36.8197707],[128.6371756,36.8197361],[128.6367551,36.8196336],[128.6363676,36.819467],[128.6360279,36.8192429],[128.6357491,36.8189698],[128.635542,36.8186582],[128.6354144,36.8183201],[128.6353714,36.8179685],[128.6354144,36.8176169],[128.635542,36.8172788],[128.6357492,36.8169673],[128.6360279,36.8166942],[128.6363676,36.81647],[128.6367551,36.8163035],[128.6371756,36.8162009],[128.6376129,36.8161663],[128.6380502,36.8162009],[128.6384707,36.8163035],[128.6388583,36.81647],[128.6391979,36.8166942],[128.6394767,36.8169673],[128.6396838,36.8172788],[128.6398114,36.8176169],[128.6398545,36.8179685],[128.6398114,36.8183201],[128.6396839,36.8186582],[128.6394767,36.8189698],[128.639198,36.8192429]]]}"
5316309,"2014105","4812512600","48125003","경상남도 창원시 마산합포구3","경상남도 창원시 마산합포구 신포동2가(- 인근)",4,4,0,3,0,1,128.575215745012,35.2031911821283,"{""type"":""Polygon"",""coordinates"":[[[128.5767688,35.2044659],[128.576436,35.2046901],[128.5760563,35.2048567],[128.5756442,35.2049592],[128.5752157,35.2049939],[128.5747873,35.2049592],[128.5743752,35.2048567],[128.5739955,35.2046901],[128.5736627,35.2044659],[128.5733896,35.2041927],[128.5731866,35.203881],[128.5730616,35.2035429],[128.5730194,35.2031912],[128.5730616,35.2028395],[128.5731866,35.2025013],[128.5733896,35.2021896],[128.5736627,35.2019165],[128.5739956,35.2016923],[128.5743753,35.2015257],[128.5747873,35.2014231],[128.5752157,35.2013885],[128.5756442,35.2014231],[128.5760562,35.2015257],[128.5764359,35.2016923],[128.5767687,35.2019165],[128.5770419,35.2021896],[128.5772449,35.2025013],[128.5773698,35.2028395],[128.5774121,35.2031912],[128.5773699,35.2035429],[128.5772449,35.203881],[128.5770419,35.2041927],[128.5767688,35.2044659]]]}"
194243,"2014105","1111013800","11110002","서울특별시 종로구2","서울특별시 종로구 종로2가(기업은행 부근)",4,4,3,1,0,0,126.989158462194,37.5702903220416,"{""type"":""Polygon"",""coordinates"":[[[126.9907593,37.5715645],[126.9904163,37.5717886],[126.9900248,37.5719551],[126.9896001,37.5720577],[126.9891585,37.5720923],[126.9887168,37.5720577],[126.9882921,37.5719551],[126.9879007,37.5717886],[126.9875576,37.5715645],[126.9872761,37.5712914],[126.9870669,37.5709799],[126.986938,37.5706419],[126.9868945,37.5702903],[126.9869381,37.5699388],[126.9870669,37.5696007],[126.9872761,37.5692892],[126.9875577,37.5690161],[126.9879007,37.568792],[126.9882921,37.5686255],[126.9887168,37.568523],[126.9891585,37.5684883],[126.9896001,37.568523],[126.9900248,37.5686255],[126.9904162,37.568792],[126.9907593,37.5690161],[126.9910408,37.5692892],[126.99125,37.5696007],[126.9913789,37.5699388],[126.9914224,37.5702903],[126.9913789,37.5706419],[126.9912501,37.5709799],[126.9910409,37.5712914],[126.9907593,37.5715645]]]}"
194247,"2014105","1114016200","11140002","서울특별시 중구2","서울특별시 중구 신당동(약수역 부근)",5,6,0,5,1,0,127.010617467024,37.5546350488693,"{""type"":""Polygon"",""coordinates"":[[[127.012218,37.5559092],[127.011875,37.5561333],[127.0114837,37.5562999],[127.0110591,37.5564024],[127.0106175,37.556437],[127.0101759,37.5564024],[127.0097513,37.5562999],[127.0093599,37.5561333],[127.0090169,37.5559092],[127.0087355,37.5556362],[127.0085263,37.5553246],[127.0083975,37.5549866],[127.008354,37.554635],[127.0083975,37.5542835],[127.0085263,37.5539454],[127.0087355,37.5536339],[127.009017,37.5533608],[127.00936,37.5531367],[127.0097513,37.5529702],[127.0101759,37.5528677],[127.0106175,37.5528331],[127.011059,37.5528677],[127.0114836,37.5529702],[127.0118749,37.5531367],[127.0122179,37.5533608],[127.0124994,37.5536339],[127.0127086,37.5539454],[127.0128374,37.5542835],[127.0128809,37.554635],[127.0128374,37.5549866],[127.0127086,37.5553246],[127.0124995,37.5556362],[127.012218,37.5559092]]]}"
5305509,"2014105","2823710100","28237002","인천광역시 부평구2","인천광역시 부평구 부평동(부평구청사거리 부근)",4,4,2,2,0,0,126.720470714253,37.5067540045945,"{""type"":""Polygon"",""coordinates"":[[[126.7220702,37.5080282],[126.7217274,37.5082523],[126.7213364,37.5084188],[126.720912,37.5085214],[126.7204707,37.508556],[126.7200294,37.5085214],[126.7196051,37.5084188],[126.719214,37.5082523],[126.7188712,37.5080282],[126.7185899,37.5077551],[126.7183809,37.5074436],[126.7182522,37.5071055],[126.7182087,37.506754],[126.7182522,37.5064024],[126.7183809,37.5060644],[126.71859,37.5057528],[126.7188713,37.5054798],[126.719214,37.5052557],[126.7196051,37.5050892],[126.7200294,37.5049866],[126.7204707,37.504952],[126.720912,37.5049866],[126.7213363,37.5050892],[126.7217274,37.5052557],[126.7220702,37.5054798],[126.7223515,37.5057528],[126.7225605,37.5060644],[126.7226892,37.5064024],[126.7227327,37.506754],[126.7226893,37.5071055],[126.7225605,37.5074436],[126.7223515,37.5077551],[126.7220702,37.5080282]]]}"
194246,"2014105","1114012000","11140001","서울특별시 중구1","서울특별시 중구 봉래동2가(서울역사거리 부근)",5,5,1,3,1,0,126.97252691019,37.5555564708553,"{""type"":""Polygon"",""coordinates"":[[[126.9741275,37.5568307],[126.9737845,37.5570548],[126.9733931,37.5572213],[126.9729685,37.5573238],[126.9725269,37.5573585],[126.9720853,37.5573238],[126.9716607,37.5572213],[126.9712694,37.5570548],[126.9709264,37.5568307],[126.9706449,37.5565576],[126.9704357,37.556246],[126.9703069,37.555908],[126.9702634,37.5555564],[126.9703069,37.5552049],[126.9704358,37.5548669],[126.9706449,37.5545553],[126.9709264,37.5542823],[126.9712694,37.5540582],[126.9716607,37.5538916],[126.9720853,37.5537891],[126.9725269,37.5537545],[126.9729685,37.5537891],[126.9733931,37.5538916],[126.9737844,37.5540582],[126.9741274,37.5542823],[126.9744089,37.5545553],[126.9746181,37.5548669],[126.9747469,37.5552049],[126.9747904,37.5555564],[126.9747469,37.555908],[126.9746181,37.556246],[126.9744089,37.5565576],[126.9741275,37.5568307]]]}"
194249,"2014105","1117011300","11170001","서울특별시 용산구1","서울특별시 용산구 원효로2가(원효아파트 부근)",5,5,0,3,1,1,126.96147826581,37.5355752041332,"{""type"":""Polygon"",""coordinates"":[[[126.9630784,37.5368494],[126.9627355,37.5370735],[126.9623442,37.53724],[126.9619197,37.5373426],[126.9614783,37.5373772],[126.9610368,37.5373426],[126.9606123,37.53724],[126.9602211,37.5370735],[126.9598782,37.5368494],[126.9595967,37.5365763],[126.9593876,37.5362648],[126.9592589,37.5359267],[126.9592154,37.5355752],[126.9592589,37.5352236],[126.9593877,37.5348856],[126.9595968,37.5345741],[126.9598782,37.534301],[126.9602211,37.5340769],[126.9606123,37.5339104],[126.9610368,37.5338078],[126.9614783,37.5337732],[126.9619197,37.5338078],[126.9623442,37.5339104],[126.9627354,37.5340769],[126.9630783,37.534301],[126.9633597,37.5345741],[126.9635689,37.5348856],[126.9636976,37.5352236],[126.9637411,37.5355752],[126.9636977,37.5359267],[126.9635689,37.5362648],[126.9633598,37.5365763],[126.9630784,37.5368494]]]}"
194251,"2014105","1120010700","11200002","서울특별시 성동구2","서울특별시 성동구 행당동(성수여중 부근)",5,5,0,4,1,0,127.049174866428,37.5384162515097,"{""type"":""Polygon"",""coordinates"":[[[127.050775,37.5396904],[127.0504321,37.5399146],[127.0500409,37.5400811],[127.0496164,37.5401836],[127.0491749,37.5402183],[127.0487334,37.5401836],[127.0483089,37.5400811],[127.0479176,37.5399146],[127.0475747,37.5396904],[127.0472933,37.5394174],[127.0470842,37.5391058],[127.0469554,37.5387678],[127.0469119,37.5384162],[127.0469554,37.5380647],[127.0470842,37.5377266],[127.0472933,37.5374151],[127.0475747,37.537142],[127.0479177,37.5369179],[127.0483089,37.5367514],[127.0487334,37.5366489],[127.0491749,37.5366143],[127.0496163,37.5366489],[127.0500408,37.5367514],[127.0504321,37.5369179],[127.050775,37.537142],[127.0510564,37.5374151],[127.0512655,37.5377266],[127.0513943,37.5380647],[127.0514378,37.5384162],[127.0513943,37.5387678],[127.0512656,37.5391058],[127.0510565,37.5394174],[127.050775,37.5396904]]]}"
5310521,"2014105","2911010100","29110002","광주광역시 동구2","광주광역시 동구 대인동(한미쇼핑앞 부근)",5,5,1,3,1,0,126.91816768769,35.1521586696878,"{""type"":""Polygon"",""coordinates"":[[[126.9197198,35.1534334],[126.9193872,35.1536576],[126.9190077,35.1538242],[126.9185959,35.1539268],[126.9181677,35.1539614],[126.9177395,35.1539268],[126.9173277,35.1538242],[126.9169482,35.1536576],[126.9166156,35.1534334],[126.9163426,35.1531602],[126.9161398,35.1528485],[126.9160149,35.1525103],[126.9159728,35.1521586],[126.9160149,35.151807],[126.9161398,35.1514688],[126.9163427,35.1511571],[126.9166157,35.1508839],[126.9169483,35.1506598],[126.9173277,35.1504932],[126.9177395,35.1503906],[126.9181677,35.1503559],[126.9185959,35.1503906],[126.9190076,35.1504932],[126.9193871,35.1506598],[126.9197197,35.1508839],[126.9199927,35.1511571],[126.9201955,35.1514688],[126.9203204,35.151807],[126.9203626,35.1521586],[126.9203205,35.1525103],[126.9201956,35.1528485],[126.9199927,35.1531602],[126.9197198,35.1534334]]]}"
5321426,"2014105","4518010100","45180004","전라북도 정읍시4","전라북도 정읍시 수성동(삼태기메들리 부근)",3,3,0,1,2,0,126.855156471795,35.5816750083958,"{""type"":""Polygon"",""coordinates"":[[[126.8567168,35.5829496],[126.8563824,35.5831738],[126.8560009,35.5833404],[126.855587,35.583443],[126.8551565,35.5834776],[126.854726,35.583443],[126.854312,35.5833404],[126.8539305,35.5831738],[126.8535962,35.5829496],[126.8533217,35.5826765],[126.8531178,35.5823648],[126.8529923,35.5820267],[126.8529499,35.581675],[126.8529923,35.5813233],[126.8531179,35.5809852],[126.8533218,35.5806735],[126.8535962,35.5804004],[126.8539306,35.5801762],[126.8543121,35.5800096],[126.854726,35.5799071],[126.8551565,35.5798724],[126.8555869,35.5799071],[126.8560009,35.5800096],[126.8563824,35.5801762],[126.8567167,35.5804004],[126.8569912,35.5806735],[126.8571951,35.5809852],[126.8573207,35.5813233],[126.8573631,35.581675],[126.8573207,35.5820267],[126.8571951,35.5823648],[126.8569912,35.5826765],[126.8567168,35.5829496]]]}"
5279156,"2014105","4213011000","42130004","강원도 원주시4","강원도 원주시 단계동(봉학사거리 부근)",3,3,1,2,0,0,127.933882544345,37.3472380687828,"{""type"":""Polygon"",""coordinates"":[[[127.9354787,37.3485123],[127.9351366,37.3487364],[127.9347464,37.348903],[127.9343229,37.3490055],[127.9338825,37.3490401],[127.9334422,37.3490055],[127.9330187,37.348903],[127.9326285,37.3487364],[127.9322864,37.3485123],[127.9320057,37.3482392],[127.9317971,37.3479277],[127.9316687,37.3475896],[127.9316253,37.347238],[127.9316687,37.3468865],[127.9317972,37.3465484],[127.9320058,37.3462369],[127.9322865,37.3459638],[127.9326285,37.3457397],[127.9330188,37.3455732],[127.9334422,37.3454706],[127.9338825,37.345436],[127.9343229,37.3454706],[127.9347463,37.3455732],[127.9351366,37.3457397],[127.9354786,37.3459638],[127.9357593,37.3462369],[127.9359679,37.3465484],[127.9360964,37.3468865],[127.9361397,37.347238],[127.9360964,37.3475896],[127.9359679,37.3479277],[127.9357594,37.3482392],[127.9354787,37.3485123]]]}"
5268492,"2014105","1132010600","11320005","서울특별시 도봉구5","서울특별시 도봉구 방학동(도봉소방서 부근)",3,3,0,0,3,0,127.042415850612,37.6647062891648,"{""type"":""Polygon"",""coordinates"":[[[127.0440187,37.6659805],[127.0436752,37.6662046],[127.0432833,37.6663711],[127.0428581,37.6664736],[127.0424159,37.6665083],[127.0419736,37.6664736],[127.0415484,37.6663711],[127.0411565,37.6662046],[127.040813,37.6659805],[127.0405311,37.6657074],[127.0403216,37.6653959],[127.0401926,37.6650578],[127.0401491,37.6647063],[127.0401926,37.6643547],[127.0403216,37.6640167],[127.0405311,37.6637052],[127.040813,37.6634321],[127.0411565,37.663208],[127.0415484,37.6630415],[127.0419736,37.662939],[127.0424159,37.6629043],[127.0428581,37.662939],[127.0432833,37.6630415],[127.0436752,37.663208],[127.0440187,37.6634321],[127.0443006,37.6637052],[127.0445101,37.6640167],[127.0446391,37.6643547],[127.0446826,37.6647063],[127.0446391,37.6650578],[127.0445101,37.6653959],[127.0443006,37.6657074],[127.0440187,37.6659805]]]}"
5329566,"2014105","2623010700","26230004","부산광역시 부산진구4","부산광역시 부산진구 초읍동(동가홍상 부근)",4,5,0,2,3,0,129.04934613112,35.1735916067681,"{""type"":""Polygon"",""coordinates"":[[[129.0508986,35.1748663],[129.0505659,35.1750905],[129.0501863,35.1752571],[129.0497745,35.1753597],[129.0493461,35.1753943],[129.0489178,35.1753597],[129.0485059,35.1752571],[129.0481263,35.1750905],[129.0477936,35.1748663],[129.0475206,35.1745931],[129.0473177,35.1742815],[129.0471928,35.1739433],[129.0471506,35.1735916],[129.0471928,35.1732399],[129.0473178,35.1729017],[129.0475207,35.1725901],[129.0477937,35.1723169],[129.0481264,35.1720927],[129.048506,35.1719261],[129.0489178,35.1718235],[129.0493461,35.1717889],[129.0497744,35.1718235],[129.0501863,35.1719261],[129.0505659,35.1720927],[129.0508986,35.1723169],[129.0511716,35.1725901],[129.0513745,35.1729017],[129.0514994,35.1732399],[129.0515416,35.1735916],[129.0514995,35.1739433],[129.0513745,35.1742815],[129.0511717,35.1745931],[129.0508986,35.1748663]]]}"
5283902,"2014105","4822011100","48220004","경상남도 통영시4","경상남도 통영시 무전동(신한실내포장 부근)",3,3,0,3,0,0,128.43191710649,34.852121244101,"{""type"":""Polygon"",""coordinates"":[[[128.4334635,34.853396],[128.4331321,34.8536202],[128.432754,34.8537868],[128.4323438,34.8538894],[128.4319171,34.8539241],[128.4314904,34.8538894],[128.4310802,34.8537868],[128.4307021,34.8536202],[128.4303707,34.853396],[128.4300987,34.8531228],[128.4298966,34.8528111],[128.4297722,34.8524729],[128.4297302,34.8521212],[128.4297722,34.8517695],[128.4298967,34.8514313],[128.4300988,34.8511196],[128.4303707,34.8508465],[128.4307021,34.8506223],[128.4310802,34.8504557],[128.4314905,34.8503531],[128.4319171,34.8503184],[128.4323437,34.8503531],[128.432754,34.8504557],[128.4331321,34.8506223],[128.4334635,34.8508465],[128.4337355,34.8511196],[128.4339376,34.8514313],[128.434062,34.8517695],[128.434104,34.8521212],[128.434062,34.8524729],[128.4339376,34.8528111],[128.4337355,34.8531228],[128.4334635,34.853396]]]}"
5285267,"2014105","4711311600","47113001","경상북도 포항시 북구1","경상북도 포항시 북구 죽도동((죽도1동사무소입구교차로) 부근)",3,3,0,3,0,0,129.369556909625,36.0333650215794,"{""type"":""Polygon"",""coordinates"":[[[129.3711261,36.0346395],[129.3707898,36.0348637],[129.3704061,36.0350303],[129.3699898,36.0351328],[129.3695569,36.0351675],[129.369124,36.0351328],[129.3687077,36.0350303],[129.368324,36.0348637],[129.3679877,36.0346395],[129.3677118,36.0343664],[129.3675067,36.0340548],[129.3673804,36.0337166],[129.3673378,36.033365],[129.3673804,36.0330134],[129.3675067,36.0326752],[129.3677118,36.0323636],[129.3679878,36.0320905],[129.3683241,36.0318663],[129.3687077,36.0316998],[129.369124,36.0315972],[129.3695569,36.0315626],[129.3699898,36.0315972],[129.3704061,36.0316998],[129.3707898,36.0318663],[129.371126,36.0320905],[129.371402,36.0323636],[129.3716071,36.0326752],[129.3717334,36.0330134],[129.371776,36.033365],[129.3717334,36.0337166],[129.3716071,36.0340548],[129.3714021,36.0343664],[129.3711261,36.0346395]]]}"
5286636,"2014105","1156010800","11560010","서울특별시 영등포구10","서울특별시 영등포구 영등포동7가(남부교육청앞 부근)",3,3,0,1,2,0,126.909569196762,37.5250844433933,"{""type"":""Polygon"",""coordinates"":[[[126.9111691,37.5263586],[126.9108262,37.5265827],[126.9104351,37.5267493],[126.9100106,37.5268518],[126.9095692,37.5268864],[126.9091278,37.5268518],[126.9087033,37.5267493],[126.9083122,37.5265827],[126.9079693,37.5263586],[126.9076879,37.5260856],[126.9074789,37.525774],[126.9073501,37.525436],[126.9073066,37.5250844],[126.9073501,37.5247329],[126.9074789,37.5243948],[126.907688,37.5240833],[126.9079694,37.5238102],[126.9083122,37.5235861],[126.9087034,37.5234196],[126.9091278,37.5233171],[126.9095692,37.5232824],[126.9100106,37.5233171],[126.910435,37.5234196],[126.9108262,37.5235861],[126.911169,37.5238102],[126.9114504,37.5240833],[126.9116595,37.5243948],[126.9117883,37.5247329],[126.9118317,37.5250844],[126.9117883,37.525436],[126.9116595,37.525774],[126.9114505,37.5260856],[126.9111691,37.5263586]]]}"
