index,from_gate,from_gong,from_dorm
0,22,55,48
1,67,101,94
2,83,118,110
3,41,76,64
4,39,73,47
5,43,78,61
6,37,72,54
7,30,64,56
8,50,59,32
9,13,47,39
10,61,95,88
11,10,44,36
12,61,95,87
13,10,44,37
14,58,93,69
15,39,61,34
16,44,57,30
17,56,90,82
18,30,64,49
19,37,52,25
20,57,91,81
21,31,66,58
22,51,85,60
23,50,70,43
24,56,90,82
25,49,84,76
26,61,95,68
27,39,73,50
28,25,56,30
29,27,61,54
30,39,73,66
31,56,65,38
32,57,91,83
33,42,76,69
34,65,72,46
35,57,92,64
36,48,82,75
37,43,77,70
38,32,51,25
39,58,82,84
40,59,94,77
41,58,92,85
42,39,73,65
43,32,62,35
44,57,91,84
45,47,82,59
46,61,96,76
47,40,74,48
48,59,68,42
49,57,91,83
50,36,70,57
51,54,88,62
52,57,91,65
53,44,78,70
54,54,88,62
55,60,94,87
56,51,84,57
57,36,59,32
58,51,85,58
59,41,75,49
60,40,70,44
61,64,98,90
62,65,99,92
63,40,74,66
64,31,65,58
65,47,56,30
66,17,51,33
67,21,55,37
68,39,44,17
69,21,55,33
70,67,74,48
71,17,52,44
72,36,70,63
73,56,90,82
74,31,66,58
75,40,75,67
76,27,61,39
77,67,102,94
78,36,61,54
79,40,53,26
80,57,92,84
