시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
서울특별시,관악구,당곡고등학교,서울특별시 관악구 봉천로21길 108(봉천동),382,126.934727,37.491691,김정천
서울특별시,관악구,당곡중학교,서울특별시 관악구 봉천로13길 101(봉천동),856,126.933161,37.491905,
서울특별시,관악구,구암고등학교,서울특별시 관악구 성현로 57(봉천동),852,126.950288,37.49236,임선희
서울특별시,관악구,구암중학교,서울특별시 관악구 성현로 53(봉천동),525,126.948362,37.492677,민흥식
서울특별시,관악구,구암초등학교,서울특별시 관악구 구암길 1(봉천동),513,126.947164,37.48964,
서울특별시,관악구,봉천초등학교,서울특별시 관악구 행운1라길 17(봉천동),1125.95,126.957873,37.482654,
서울특별시,관악구,관악중학교,서울특별시 관악구 남부순환로237길 60(봉천동),580,126.962009,37.480729,
서울특별시,관악구,영락고등학교,서울특별시 관악구 청룡16길 25(봉천동),1076,126.945721,37.476578,강기영
서울특별시,관악구,청룡초등학교,서울특별시 관악구 관악로5길 61(봉천동),340,126.951289,37.475877,김영숙
서울특별시,관악구,청룡산체육관,서울특별시 관악구 관악로5길 91-41 (봉천동),684,126.949371,37.474125,배기수
서울특별시,관악구,봉림중학교,서울특별시 관악구 장군봉길 72(봉천동),555,126.93819,37.480736,김미희
서울특별시,관악구,은천초등학교,서울특별시 관악구 은천로 69(봉천동),8590,126.943129,37.486838,송민경
서울특별시,관악구,서울관광고등학교,서울특별시 관악구 은천로15길 25(봉천동),432,126.94377,37.487846,김옥기
서울특별시,관악구,신봉초등학교,서울특별시 관악구 양녕로6나길 1(봉천동),868,126.949271,37.48571,
서울특별시,관악구,인헌고등학교,서울특별시 관악구 인헌9길 74(봉천동),794,126.970026,37.471717,박기상
서울특별시,관악구,장군봉체육관,서울특별시 관악구 남부순환로194길 81-12 (신림동),597,126.935112,37.48121,이현로
서울특별시,관악구,신관중학교,서울특별시 관악구 신림로48길 17-16 (신림동),935,126.933953,37.480276,
서울특별시,관악구,신성초등학교,서울특별시 관악구 신림로 114(신림동),758,126.936633,37.471587,
서울특별시,관악구,남부초등학교,서울특별시 관악구 남부순환로163길 14(신림동),612,126.922099,37.484888,
서울특별시,관악구,난향초등학교,서울특별시 관악구 난향길 9(신림동),168,126.917891,37.462102,고재홍
서울특별시,관악구,조원초등학교,서울특별시 관악구 조원로 67(신림동),1271,126.909517,37.484162,최외득
서울특별시,관악구,삼성초등학교,서울특별시 관악구 대학7길 52(신림동),993,126.941029,37.468039,
서울특별시,관악구,삼성중학교,서울특별시 관악구 신림로3가길 39-24 (신림동),979,126.942816,37.467871,김옥희
서울특별시,관악구,삼성고등학교,서울특별시 관악구 신림로 41(신림동),463,126.943378,37.469243,구달회
서울특별시,관악구,신우초등학교,서울특별시 관악구 호암로 498(신림동),889,126.932425,37.462739,
서울특별시,관악구,미성중학교,서울특별시 관악구 문성로16길 40(신림동),587,126.912426,37.475216,이범원
서울특별시,관악구,난우초등학교,서울특별시 관악구 난우길 40(신림동),501,126.917696,37.476578,여경원
서울특별시,관악구,남서울중학교,서울특별시 관악구 남부순환로172길 97(신림동),863,126.921469,37.481895,장민석
서울특별시,관악구,난우중학교,서울특별시 관악구 난곡로16길 32(신림동),766,126.92268,37.46663,윤치영
