"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6395271,"2018028","4812916200","48129001","경상남도 창원시 진해구1","경상남도 창원시 진해구 청안동(청안공원 부근)",3,3,0,1,1,1,128.806513325431,35.1039896849769,"{""type"":""Polygon"",""coordinates"":[[[128.80870727,35.10396602],[128.80870144,35.10412325],[128.80867895,35.10427946],[128.80863998,35.10443347],[128.80858482,35.10458410],[128.80851390,35.10473021],[128.80842775,35.10487068],[128.80832703,35.10500445],[128.80821251,35.10513050],[128.80808505,35.10524786],[128.80794564,35.10535564],[128.80779532,35.10545303],[128.80763524,35.10553929],[128.80746663,35.10561375],[128.80729076,35.10567585],[128.80710897,35.10572511],[128.80692265,35.10576117],[128.80673321,35.10578375],[128.80654210,35.10579267],[128.80635077,35.10578787],[128.80616068,35.10576939],[128.80597327,35.10573736],[128.80578998,35.10569202],[128.80561218,35.10563374],[128.80544125,35.10556294],[128.80527848,35.10548016],[128.80512510,35.10538605],[128.80498229,35.10528130],[128.80485114,35.10516673],[128.80473263,35.10504319],[128.80462768,35.10491164],[128.80453707,35.10477308],[128.80446151,35.10462855],[128.80440157,35.10447916],[128.80435770,35.10432604],[128.80433023,35.10417036],[128.80431938,35.10401331],[128.80432522,35.10385608],[128.80434772,35.10369987],[128.80438670,35.10354586],[128.80444186,35.10339523],[128.80451279,35.10324912],[128.80459894,35.10310865],[128.80469967,35.10297489],[128.80481419,35.10284885],[128.80494165,35.10273149],[128.80508107,35.10262371],[128.80523138,35.10252632],[128.80539145,35.10244007],[128.80556006,35.10236561],[128.80573593,35.10230352],[128.80591771,35.10225425],[128.80610402,35.10221819],[128.80629345,35.10219562],[128.80648455,35.10218670],[128.80667587,35.10219150],[128.80686596,35.10220998],[128.80705336,35.10224201],[128.80723665,35.10228734],[128.80741443,35.10234563],[128.80758536,35.10241642],[128.80774813,35.10249920],[128.80790150,35.10259331],[128.80804431,35.10269805],[128.80817547,35.10281262],[128.80829398,35.10293615],[128.80839893,35.10306770],[128.80848954,35.10320626],[128.80856511,35.10335079],[128.80862506,35.10350018],[128.80866894,35.10365329],[128.80869641,35.10380897],[128.80870727,35.10396602]]]}"
6396472,"2018028","4817012000","48170001","경상남도 진주시1","경상남도 진주시 하대동(대성맨션 부근)",3,3,0,3,0,0,128.124172231964,35.1888670494756,"{""type"":""Polygon"",""coordinates"":[[[128.12636890,35.18885571],[128.12636175,35.18901292],[128.12633793,35.18916902],[128.12629763,35.18932283],[128.12624116,35.18947317],[128.12616894,35.18961889],[128.12608152,35.18975889],[128.12597957,35.18989211],[128.12586387,35.19001752],[128.12573529,35.19013418],[128.12559481,35.19024119],[128.12544351,35.19033774],[128.12528253,35.19042311],[128.12511310,35.19049663],[128.12493651,35.19055775],[128.12475411,35.19060600],[128.12456727,35.19064101],[128.12437743,35.19066252],[128.12418602,35.19067037],[128.12399452,35.19066450],[128.12380436,35.19064494],[128.12361700,35.19061186],[128.12343387,35.19056549],[128.12325636,35.19050620],[128.12308582,35.19043443],[128.12292355,35.19035073],[128.12277078,35.19025575],[128.12262868,35.19015019],[128.12249833,35.19003487],[128.12238071,35.18991065],[128.12227673,35.18977850],[128.12218718,35.18963941],[128.12211274,35.18949444],[128.12205397,35.18934470],[128.12201132,35.18919132],[128.12198512,35.18903548],[128.12197556,35.18887835],[128.12198272,35.18872114],[128.12200655,35.18856504],[128.12204685,35.18841123],[128.12210334,35.18826090],[128.12217556,35.18811518],[128.12226299,35.18797518],[128.12236494,35.18784196],[128.12248064,35.18771655],[128.12260923,35.18759990],[128.12274970,35.18749289],[128.12290100,35.18739634],[128.12306198,35.18731098],[128.12323140,35.18723746],[128.12340798,35.18717635],[128.12359038,35.18712810],[128.12377721,35.18709309],[128.12396705,35.18707157],[128.12415844,35.18706372],[128.12434994,35.18706960],[128.12454009,35.18708915],[128.12472744,35.18712224],[128.12491056,35.18716860],[128.12508807,35.18722789],[128.12525860,35.18729966],[128.12542087,35.18738335],[128.12557364,35.18747834],[128.12571574,35.18758389],[128.12584609,35.18769921],[128.12596371,35.18782342],[128.12606769,35.18795557],[128.12615724,35.18809466],[128.12623169,35.18823962],[128.12629047,35.18838936],[128.12633313,35.18854274],[128.12635934,35.18869858],[128.12636890,35.18885571]]]}"
6396154,"2018028","4822034024","48220001","경상남도 통영시1","경상남도 통영시 광도면(죽림주공아파트정문 부근)",3,3,0,1,2,0,128.415175477467,34.8787894028096,"{""type"":""Polygon"",""coordinates"":[[[128.41736372,34.87877291],[128.41735714,34.87893014],[128.41733395,34.87908630],[128.41729434,34.87924020],[128.41723860,34.87939067],[128.41716716,34.87953656],[128.41708056,34.87967677],[128.41697947,34.87981022],[128.41686464,34.87993591],[128.41673696,34.88005287],[128.41659739,34.88016021],[128.41644700,34.88025712],[128.41628693,34.88034286],[128.41611840,34.88041678],[128.41594270,34.88047831],[128.41576116,34.88052699],[128.41557516,34.88056244],[128.41538611,34.88058440],[128.41519547,34.88059270],[128.41500467,34.88058727],[128.41481517,34.88056816],[128.41462842,34.88053551],[128.41444583,34.88048958],[128.41426879,34.88043070],[128.41409865,34.88035933],[128.41393671,34.88027602],[128.41378419,34.88018139],[128.41364227,34.88007616],[128.41351201,34.87996115],[128.41339442,34.87983721],[128.41329038,34.87970530],[128.41320069,34.87956642],[128.41312603,34.87942163],[128.41306696,34.87927202],[128.41302395,34.87911875],[128.41299730,34.87896296],[128.41298724,34.87880586],[128.41299383,34.87864863],[128.41301702,34.87849247],[128.41305664,34.87833857],[128.41311238,34.87818810],[128.41318383,34.87804221],[128.41327043,34.87790201],[128.41337153,34.87776856],[128.41348636,34.87764288],[128.41361405,34.87752592],[128.41375362,34.87741858],[128.41390400,34.87732167],[128.41406407,34.87723594],[128.41423259,34.87716202],[128.41440829,34.87710049],[128.41458982,34.87705182],[128.41477582,34.87701637],[128.41496485,34.87699441],[128.41515549,34.87698611],[128.41534628,34.87699154],[128.41553577,34.87701065],[128.41572252,34.87704329],[128.41590510,34.87708923],[128.41608213,34.87714810],[128.41625227,34.87721946],[128.41641420,34.87730278],[128.41656672,34.87739740],[128.41670864,34.87750262],[128.41683889,34.87761764],[128.41695649,34.87774157],[128.41706053,34.87787348],[128.41715023,34.87801235],[128.41722490,34.87815714],[128.41728397,34.87830675],[128.41732699,34.87846002],[128.41735364,34.87861581],[128.41736372,34.87877291]]]}"
6395512,"2018028","2726011200","27260002","대구광역시 수성구2","대구광역시 수성구 지산동(에덴테마어린이공원 부근)",3,3,0,2,1,0,128.632355581346,35.8211824763911,"{""type"":""Polygon"",""coordinates"":[[[128.63456924,35.82116160],[128.63456305,35.82131881],[128.63454006,35.82147499],[128.63450045,35.82162893],[128.63444451,35.82177949],[128.63437267,35.82192549],[128.63428549,35.82206584],[128.63418361,35.82219947],[128.63406782,35.82232536],[128.63393900,35.82244255],[128.63379813,35.82255015],[128.63364628,35.82264735],[128.63348461,35.82273339],[128.63331434,35.82280763],[128.63313678,35.82286950],[128.63295327,35.82291853],[128.63276521,35.82295435],[128.63257403,35.82297669],[128.63238119,35.82298537],[128.63218816,35.82298032],[128.63199640,35.82296160],[128.63180737,35.82292933],[128.63162252,35.82288377],[128.63144324,35.82282526],[128.63127091,35.82275425],[128.63110684,35.82267127],[128.63095226,35.82257697],[128.63080837,35.82247205],[128.63067626,35.82235732],[128.63055693,35.82223364],[128.63045128,35.82210197],[128.63036013,35.82196330],[128.63028417,35.82181868],[128.63022397,35.82166923],[128.63017999,35.82151607],[128.63015258,35.82136037],[128.63014193,35.82120331],[128.63014812,35.82104610],[128.63017112,35.82088993],[128.63021074,35.82073598],[128.63026668,35.82058543],[128.63033853,35.82043943],[128.63042572,35.82029908],[128.63052760,35.82016545],[128.63064339,35.82003957],[128.63077221,35.81992238],[128.63091308,35.81981478],[128.63106493,35.81971759],[128.63122660,35.81963155],[128.63139686,35.81955731],[128.63157442,35.81949544],[128.63175792,35.81944642],[128.63194598,35.81941060],[128.63213714,35.81938827],[128.63232998,35.81937959],[128.63252300,35.81938463],[128.63271475,35.81940335],[128.63290377,35.81943562],[128.63308862,35.81948118],[128.63326789,35.81953969],[128.63344021,35.81961070],[128.63360428,35.81969367],[128.63375885,35.81978797],[128.63390274,35.81989288],[128.63403485,35.82000761],[128.63415419,35.82013128],[128.63425984,35.82026295],[128.63435099,35.82040162],[128.63442696,35.82054624],[128.63448717,35.82069569],[128.63453115,35.82084885],[128.63455858,35.82100455],[128.63456924,35.82116160]]]}"
6395232,"2018028","2726011000","27260003","대구광역시 수성구3","대구광역시 수성구 파동(서민할매식당 부근)",3,4,0,1,3,0,128.610867908828,35.8254863547124,"{""type"":""Polygon"",""coordinates"":[[[128.61308170,35.82546587],[128.61307547,35.82562308],[128.61305244,35.82577925],[128.61301278,35.82593320],[128.61295680,35.82608374],[128.61288492,35.82622973],[128.61279769,35.82637007],[128.61269578,35.82650368],[128.61257995,35.82662955],[128.61245109,35.82674672],[128.61231018,35.82685430],[128.61215829,35.82695146],[128.61199659,35.82703748],[128.61182629,35.82711169],[128.61164870,35.82717353],[128.61146516,35.82722253],[128.61127708,35.82725831],[128.61108589,35.82728061],[128.61089304,35.82728926],[128.61069999,35.82728418],[128.61050823,35.82726542],[128.61031920,35.82723312],[128.61013435,35.82718752],[128.60995508,35.82712898],[128.60978275,35.82705794],[128.60961869,35.82697494],[128.60946414,35.82688060],[128.60932027,35.82677566],[128.60918817,35.82666090],[128.60906887,35.82653721],[128.60896325,35.82640551],[128.60887213,35.82626682],[128.60879621,35.82612219],[128.60873604,35.82597273],[128.60869211,35.82581956],[128.60866473,35.82566385],[128.60865412,35.82550680],[128.60866036,35.82534959],[128.60868340,35.82519342],[128.60872306,35.82503948],[128.60877905,35.82488894],[128.60885093,35.82474294],[128.60893817,35.82460261],[128.60904009,35.82446900],[128.60915592,35.82434313],[128.60928478,35.82422597],[128.60942569,35.82411840],[128.60957757,35.82402123],[128.60973928,35.82393522],[128.60990957,35.82386101],[128.61008716,35.82379918],[128.61027068,35.82375018],[128.61045876,35.82371440],[128.61064994,35.82369210],[128.61084279,35.82368345],[128.61103582,35.82368853],[128.61122758,35.82370729],[128.61141660,35.82373959],[128.61160144,35.82378518],[128.61178071,35.82384372],[128.61195302,35.82391476],[128.61211708,35.82399776],[128.61227163,35.82409209],[128.61241550,35.82419703],[128.61254760,35.82431179],[128.61266691,35.82443548],[128.61277252,35.82456717],[128.61286365,35.82470585],[128.61293958,35.82485048],[128.61299975,35.82499995],[128.61304370,35.82515311],[128.61307108,35.82530882],[128.61308170,35.82546587]]]}"
6395235,"2018028","2726010200","27260004","대구광역시 수성구4","대구광역시 수성구 만촌동(대청초교 부근)",3,4,0,1,3,0,128.6520371445,35.8506580217512,"{""type"":""Polygon"",""coordinates"":[[[128.65425160,35.85063677],[128.65424545,35.85079398],[128.65422250,35.85095015],[128.65418291,35.85110411],[128.65412699,35.85125467],[128.65405517,35.85140069],[128.65396798,35.85154105],[128.65386611,35.85167470],[128.65375031,35.85180060],[128.65362147,35.85191782],[128.65348058,35.85202544],[128.65332870,35.85212266],[128.65316698,35.85220873],[128.65299667,35.85228300],[128.65281906,35.85234490],[128.65263549,35.85239396],[128.65244738,35.85242981],[128.65225613,35.85245218],[128.65206323,35.85246089],[128.65187012,35.85245588],[128.65167829,35.85243719],[128.65148918,35.85240495],[128.65130425,35.85235942],[128.65112489,35.85230095],[128.65095248,35.85222996],[128.65078833,35.85214702],[128.65063367,35.85205274],[128.65048970,35.85194785],[128.65035751,35.85183314],[128.65023810,35.85170948],[128.65013239,35.85157783],[128.65004117,35.85143917],[128.64996514,35.85129457],[128.64990488,35.85114513],[128.64986085,35.85099198],[128.64983338,35.85083628],[128.64982269,35.85067923],[128.64982884,35.85052202],[128.64985181,35.85036585],[128.64989140,35.85021190],[128.64994733,35.85006134],[128.65001916,35.84991532],[128.65010635,35.84977496],[128.65020823,35.84964132],[128.65032403,35.84951541],[128.65045287,35.84939820],[128.65059376,35.84929058],[128.65074564,35.84919337],[128.65090735,35.84910730],[128.65107766,35.84903304],[128.65125526,35.84897114],[128.65143882,35.84892208],[128.65162693,35.84888623],[128.65181817,35.84886386],[128.65201107,35.84885515],[128.65220416,35.84886016],[128.65239599,35.84887886],[128.65258509,35.84891109],[128.65277001,35.84895662],[128.65294936,35.84901509],[128.65312177,35.84908607],[128.65328592,35.84916901],[128.65344057,35.84926329],[128.65358454,35.84936818],[128.65371673,35.84948288],[128.65383614,35.84960653],[128.65394186,35.84973818],[128.65403308,35.84987684],[128.65410912,35.85002143],[128.65416938,35.85017088],[128.65421342,35.85032403],[128.65424090,35.85047972],[128.65425160,35.85063677]]]}"
6395513,"2018028","2820010300","28200001","인천광역시 남동구1","인천광역시 남동구 만수동(담방로사거리 부근)",3,4,0,1,2,1,126.738846914155,37.4441585138053,"{""type"":""Polygon"",""coordinates"":[[[126.74110773,37.44417305],[126.74109754,37.44433010],[126.74107022,37.44448585],[126.74102598,37.44463910],[126.74096516,37.44478870],[126.74088821,37.44493350],[126.74079573,37.44507240],[126.74068842,37.44520435],[126.74056709,37.44532834],[126.74043267,37.44544342],[126.74028617,37.44554873],[126.74012873,37.44564345],[126.73996153,37.44572688],[126.73978585,37.44579837],[126.73960301,37.44585737],[126.73941443,37.44590345],[126.73922152,37.44593625],[126.73902577,37.44595551],[126.73882865,37.44596110],[126.73863167,37.44595298],[126.73843633,37.44593119],[126.73824412,37.44589591],[126.73805649,37.44584741],[126.73787488,37.44578606],[126.73770067,37.44571232],[126.73753518,37.44562675],[126.73737967,37.44553001],[126.73723534,37.44542283],[126.73710326,37.44530603],[126.73698446,37.44518050],[126.73687984,37.44504718],[126.73679018,37.44490711],[126.73671618,37.44476133],[126.73665840,37.44461097],[126.73661727,37.44445717],[126.73659311,37.44430109],[126.73658610,37.44414393],[126.73659630,37.44398688],[126.73662363,37.44383114],[126.73666787,37.44367788],[126.73672871,37.44352829],[126.73680566,37.44338349],[126.73689815,37.44324459],[126.73700546,37.44311265],[126.73712679,37.44298866],[126.73726122,37.44287358],[126.73740770,37.44276828],[126.73756515,37.44267356],[126.73773234,37.44259014],[126.73790802,37.44251865],[126.73809085,37.44245965],[126.73827942,37.44241358],[126.73847232,37.44238078],[126.73866807,37.44236151],[126.73886517,37.44235592],[126.73906214,37.44236405],[126.73925747,37.44238584],[126.73944968,37.44242111],[126.73963730,37.44246961],[126.73981890,37.44253096],[126.73999311,37.44260470],[126.74015860,37.44269026],[126.74031410,37.44278700],[126.74045844,37.44289417],[126.74059051,37.44301097],[126.74070931,37.44313650],[126.74081394,37.44326981],[126.74090361,37.44340988],[126.74097761,37.44355565],[126.74103541,37.44370601],[126.74107654,37.44385981],[126.74110071,37.44401589],[126.74110773,37.44417305]]]}"
6395516,"2018028","2917011700","29170001","광주광역시 북구1","광주광역시 북구 매곡동(대화아파트 부근)",4,5,0,1,3,1,126.892275531492,35.1921250594248,"{""type"":""Polygon"",""coordinates"":[[[126.89447230,35.19213606],[126.89446277,35.19229319],[126.89443660,35.19244904],[126.89439398,35.19260243],[126.89433524,35.19275218],[126.89426082,35.19289716],[126.89417129,35.19303626],[126.89406734,35.19316842],[126.89394974,35.19329265],[126.89381941,35.19340799],[126.89367732,35.19351357],[126.89352457,35.19360858],[126.89336230,35.19369230],[126.89319177,35.19376409],[126.89301427,35.19382340],[126.89283114,35.19386979],[126.89264378,35.19390291],[126.89245362,35.19392249],[126.89226210,35.19392839],[126.89207069,35.19392057],[126.89188083,35.19389908],[126.89169398,35.19386409],[126.89151156,35.19381586],[126.89133495,35.19375477],[126.89116550,35.19368127],[126.89100449,35.19359593],[126.89085317,35.19349940],[126.89071266,35.19339240],[126.89058406,35.19327576],[126.89046832,35.19315036],[126.89036634,35.19301716],[126.89027889,35.19287717],[126.89020664,35.19273146],[126.89015013,35.19258113],[126.89010980,35.19242733],[126.89008595,35.19227123],[126.89007877,35.19211402],[126.89008830,35.19195689],[126.89011448,35.19180104],[126.89015711,35.19164766],[126.89021586,35.19149791],[126.89029028,35.19135293],[126.89037981,35.19121383],[126.89048377,35.19108167],[126.89060137,35.19095745],[126.89073170,35.19084211],[126.89087379,35.19073654],[126.89102654,35.19064153],[126.89118880,35.19055781],[126.89135933,35.19048603],[126.89153683,35.19042671],[126.89171995,35.19038032],[126.89190730,35.19034721],[126.89209745,35.19032763],[126.89228896,35.19032173],[126.89248037,35.19032955],[126.89267021,35.19035104],[126.89285705,35.19038603],[126.89303947,35.19043425],[126.89321608,35.19049534],[126.89338552,35.19056884],[126.89354652,35.19065418],[126.89369785,35.19075071],[126.89383835,35.19085770],[126.89396696,35.19097434],[126.89408269,35.19109973],[126.89418468,35.19123293],[126.89427213,35.19137291],[126.89434439,35.19151863],[126.89440091,35.19166895],[126.89444125,35.19182275],[126.89446510,35.19197885],[126.89447230,35.19213606]]]}"
6395268,"2018028","2917011200","29170002","광주광역시 북구2","광주광역시 북구 문흥동(문산회관 부근)",3,3,0,1,2,0,126.920218101485,35.1859454021595,"{""type"":""Polygon"",""coordinates"":[[[126.92241471,35.18595590],[126.92240524,35.18611303],[126.92237912,35.18626889],[126.92233656,35.18642228],[126.92227787,35.18657204],[126.92220351,35.18671704],[126.92211404,35.18685616],[126.92201013,35.18698836],[126.92189259,35.18711261],[126.92176231,35.18722798],[126.92162027,35.18733359],[126.92146755,35.18742864],[126.92130533,35.18751239],[126.92113484,35.18758423],[126.92095736,35.18764358],[126.92077426,35.18769002],[126.92058693,35.18772317],[126.92039679,35.18774280],[126.92020529,35.18774874],[126.92001389,35.18774096],[126.91982404,35.18771952],[126.91963719,35.18768457],[126.91945476,35.18763639],[126.91927815,35.18757534],[126.91910868,35.18750188],[126.91894766,35.18741657],[126.91879631,35.18732007],[126.91865578,35.18721311],[126.91852714,35.18709650],[126.91841137,35.18697113],[126.91830936,35.18683795],[126.91822186,35.18669798],[126.91814957,35.18655228],[126.91809301,35.18640197],[126.91805263,35.18624817],[126.91802873,35.18609208],[126.91802149,35.18593487],[126.91803097,35.18577774],[126.91805710,35.18562188],[126.91809967,35.18546849],[126.91815836,35.18531872],[126.91823273,35.18517373],[126.91832221,35.18503461],[126.91842611,35.18490242],[126.91854366,35.18477817],[126.91867394,35.18466280],[126.91881598,35.18455720],[126.91896869,35.18446215],[126.91913091,35.18437840],[126.91930140,35.18430657],[126.91947887,35.18424722],[126.91966196,35.18420079],[126.91984929,35.18416763],[126.92003942,35.18414801],[126.92023091,35.18414206],[126.92042230,35.18414984],[126.92061214,35.18417128],[126.92079898,35.18420623],[126.92098141,35.18425441],[126.92115802,35.18431546],[126.92132748,35.18438892],[126.92148849,35.18447422],[126.92163984,35.18457071],[126.92178037,35.18467767],[126.92190901,35.18479428],[126.92202478,35.18491965],[126.92212680,35.18505282],[126.92221430,35.18519279],[126.92228660,35.18533849],[126.92234317,35.18548880],[126.92238356,35.18564259],[126.92240746,35.18579869],[126.92241471,35.18595590]]]}"
6395304,"2018028","2920011400","29200001","광주광역시 광산구1","광주광역시 광산구 수완동(모아어린이집 부근)",3,3,0,2,1,0,126.823868921115,35.1882861746681,"{""type"":""Polygon"",""coordinates"":[[[126.82606555,35.18829842],[126.82605590,35.18845554],[126.82602960,35.18861137],[126.82598685,35.18876473],[126.82592799,35.18891445],[126.82585345,35.18905938],[126.82576381,35.18919843],[126.82565975,35.18933054],[126.82554206,35.18945470],[126.82541164,35.18956997],[126.82526947,35.18967546],[126.82511664,35.18977039],[126.82495432,35.18985401],[126.82478374,35.18992571],[126.82460619,35.18998492],[126.82442303,35.19003121],[126.82423566,35.19006421],[126.82404549,35.19008369],[126.82385398,35.19008948],[126.82366259,35.19008155],[126.82347276,35.19005996],[126.82328595,35.19002486],[126.82310357,35.18997653],[126.82292703,35.18991534],[126.82275765,35.18984175],[126.82259672,35.18975632],[126.82244548,35.18965970],[126.82230508,35.18955262],[126.82217658,35.18943591],[126.82206095,35.18931045],[126.82195909,35.18917719],[126.82187176,35.18903715],[126.82179964,35.18889140],[126.82174326,35.18874104],[126.82170306,35.18858722],[126.82167934,35.18843111],[126.82167229,35.18827389],[126.82168195,35.18811677],[126.82170826,35.18796094],[126.82175102,35.18780758],[126.82180989,35.18765787],[126.82188443,35.18751293],[126.82197407,35.18737389],[126.82207814,35.18724178],[126.82219583,35.18711763],[126.82232625,35.18700236],[126.82246842,35.18689687],[126.82262124,35.18680195],[126.82278356,35.18671833],[126.82295414,35.18664664],[126.82313168,35.18658743],[126.82331483,35.18654114],[126.82350220,35.18650813],[126.82369236,35.18648866],[126.82388386,35.18648287],[126.82407525,35.18649080],[126.82426506,35.18651239],[126.82445187,35.18654749],[126.82463423,35.18659581],[126.82481078,35.18665700],[126.82498015,35.18673059],[126.82514107,35.18681602],[126.82529231,35.18691264],[126.82543271,35.18701971],[126.82556122,35.18713641],[126.82567684,35.18726187],[126.82577871,35.18739513],[126.82586604,35.18753516],[126.82593817,35.18768091],[126.82599456,35.18783127],[126.82603477,35.18798509],[126.82605849,35.18814120],[126.82606555,35.18829842]]]}"
