시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
인천광역시,계양구,서운고등학교 운동장,인천광역시 계양구 서운동   55-42,3360,126.74587,37.526514,학교장
전라남도,광양시,중동근린공원,전라남도 광양시 중동   1673,53741,127.69291,34.934176,공원관리사업소장
인천광역시,계양구,계수중학교 운동장,인천광역시 계양구 서운동   109-2,1775,126.744915,37.534947,학교장
경상남도,통영시,용남생활체육공원,경상남도 통영시 용남면 원평리 917-140,10694,128.46004,34.884093,관광개발공사 시설관리팀
경상남도,통영시,유영초등학교운동장,경상남도 통영시 북신동   106-2,2200,128.426537,34.851409,
인천광역시,계양구,살나리공원,인천광역시 계양구 서운동   185-1,1438,126.746171,37.53626,유민철
인천광역시,계양구,오조산공원,인천광역시 계양구 용종동   208,12820,126.738099,37.540588,유민철
경상북도,포항시,상도중학교 운동장,경상북도 포항시 남구 대도동   156-1,4800,129.361372,36.014684,조상수
경상북도,포항시,포항종합운동장,경상북도 포항시 남구 대도동   313-1,17000,129.363494,36.008955,조상수
경상북도,포항시,장성초등학교 운동장,경상북도 포항시 북구 장성동   1344,5000,129.371848,36.06979,조상수
경상북도,청도군,청도중앙초등학교 운동장,경상북도 청도군 청도읍 원정리 530,3960,128.752174,35.647095,청도교육청
인천광역시,연수구,양지공원,인천광역시 연수구 연수동   594-1,10254,126.678693,37.415134,
제주특별자치도,서귀포시,하원초등학교 운동장,제주특별자치도 서귀포시 하원동   323-1,5310,126.459585,33.252843,
제주특별자치도,서귀포시,서호초등학교 운동장,제주특별자치도 서귀포시 호근동   1421-5,24564,126.529319,33.253657,
인천광역시,미추홀구,인천기계공업고등학교운동장,인천광역시 미추홀구 주안동   638-1,6458,126.668634,37.455676,
인천광역시,미추홀구,인천주안북초등학교운동장,인천광역시 미추홀구 주안동   14-1,1113,126.678143,37.467968,
인천광역시,서구,서곶중학교 운동장,인천광역시 서구 연희동   734-2,3037,126.671173,37.54918,학교장
인천광역시,서구,주물공단공원,인천광역시 서구 경서동   678,10361,126.639548,37.555644,서구청장
경상남도,통영시,충렬초등학교운동장,경상남도 통영시 명정동   173,3060,128.416218,34.847294,
경상남도,통영시,통영중학교운동장,경상남도 통영시 봉평동   196,9940,128.416243,34.828707,김철호
전라남도,구례군,용방초등학교 운동장,전라남도 구례군 용방면 용정리 199-2,5800,127.433306,35.250571,
인천광역시,계양구,효성고등학교  운동장,인천광역시 계양구 효성동   13-1,2860,126.715232,37.531817,학교장
인천광역시,계양구,효성동초등학교 운동장,인천광역시 계양구 효성동   1-4,3760,126.716456,37.532897,학교장
전라남도,여수시,부영여자고등학교 운동장,전라남도 여수시 안산동   657-1,968,127.651668,34.758801,김혜영
경상남도,의령군,용덕면공설운동장,경상남도 의령군 용덕면 가락리 189-5,5795,128.27129,35.341376,조재건
경상남도,의령군,유곡초등학교 운동장,경상남도 의령군 유곡면 칠곡리 330,3950,128.31385,35.433774,이권희
