시도명,시군구명,시설명,상세주소,시설면적,경도,위도
서울특별시,관악구,신성초등학교 운동장,서울특별시 관악구 신림동   117-4,2841,126.936633,37.471587
서울특별시,관악구,새빛어린이공원,서울특별시 관악구 신림동   501-30,320,126.915094,37.486237
서울특별시,관악구,문성어린이공원,서울특별시 관악구 신림동   1661-15,955,126.902996,37.481951
서울특별시,관악구,장군봉근린공원,서울특별시 관악구 신림동   산170-132,4653,126.934545,37.481541
서울특별시,관악구,새싹어린이공원,서울특별시 관악구 봉천동   1512-9,1490,126.949537,37.484459
서울특별시,관악구,봉림어린이공원,서울특별시 관악구 신림동   1510-2,885,126.935617,37.482734
서울특별시,관악구,충효어린이공원,서울특별시 관악구 봉천동   1526-1,1199,126.940974,37.481059
서울특별시,관악구,신화어린이공원,서울특별시 관악구 신림동   408-10,636,126.935762,37.476725
서울특별시,관악구,인헌고등학교 운동장,서울특별시 관악구 봉천동   174-5,1946,126.970002,37.471585
서울특별시,관악구,삼성중학교 운동장,서울특별시 관악구 신림동   220-1,3236,126.942616,37.467934
서울특별시,관악구,신림근린공원,서울특별시 관악구 신림동   1707-1,19802,126.917003,37.480678
서울특별시,관악구,신림중학교 운동장,서울특별시 관악구 신림동   133-0,3896,126.945372,37.470416
서울특별시,관악구,정문학교 운동장,서울특별시 관악구 신림동   673-82,1699,126.916747,37.461841
서울특별시,관악구,삼성고등학교 운동장,서울특별시 관악구 신림동   222-0,4864,126.943417,37.469755
서울특별시,관악구,국지어린이공원,서울특별시 관악구 봉천동   635-429,1837,126.94067,37.490039
서울특별시,관악구,관악중학교 운동장,서울특별시 관악구 봉천동   100-569,4507,126.961816,37.480851
서울특별시,관악구,밤골어린이공원,서울특별시 관악구 봉천동   1642-4,1118,126.967266,37.474128
서울특별시,관악구,남강중학교 운동장,서울특별시 관악구 신림동   627-1,5371,126.925246,37.472184
서울특별시,관악구,영락고등학교 운동장,서울특별시 관악구 봉천동   1558-1,4440,126.944366,37.476481
서울특별시,관악구,원당어린이공원,서울특별시 관악구 봉천동   196-240,1647,126.962609,37.475402
서울특별시,관악구,새들어린이공원,서울특별시 관악구 신림동   1441-42,810,126.925764,37.488627
서울특별시,관악구,서원어린이공원,서울특별시 관악구 신림동   409-26,1446,126.933312,37.476775
서울특별시,관악구,은천초등학교 운동장,서울특별시 관악구 봉천동   622-1,1745,126.942865,37.486884
서울특별시,관악구,까치산근린공원,서울특별시 관악구 봉천동   산66-1,1294,126.96667,37.47806
서울특별시,관악구,남강고등학교 운동장,서울특별시 관악구 신림동   627-1,5877,126.925052,37.472232
서울특별시,관악구,호박골어린이공원,서울특별시 관악구 신림동   1580-22,959,126.923907,37.482035
서울특별시,관악구,미도어린이공원,서울특별시 관악구 신림동   675-200,649,126.915242,37.462838
서울특별시,관악구,관악초등학교 운동장,서울특별시 관악구 봉천동   920-0,1793,126.943203,37.480742
서울특별시,관악구,모래내어린이공원,서울특별시 관악구 봉천동   1613-19,1595,126.955637,37.477763
서울특별시,관악구,쑥고개어린이공원,서울특별시 관악구 신림동   1564-68,388,126.940811,37.475862
서울특별시,관악구,광신고등학교 운동장,서울특별시 관악구 신림동   328-0,6867,126.925949,37.464597
서울특별시,관악구,사당초등학교 운동장,서울특별시 관악구 남현동   1080-1,6336,126.974544,37.474319
서울특별시,관악구,남서울중학교 운동장,서울특별시 관악구 신림동   1690-3,5508,126.92139,37.481852
서울특별시,관악구,약수암어린이공원,서울특별시 관악구 신림동   316-95,1042,126.932866,37.459415
서울특별시,관악구,군인아파트 어린이공원,서울특별시 관악구 남현동   602-143,817,126.978962,37.471858
서울특별시,관악구,신림고등학교 운동장,서울특별시 관악구 신림동   산197-1,4322,126.917162,37.478627
서울특별시,관악구,난우중학교 운동장,서울특별시 관악구 신림동   652-156,2770,126.922864,37.466802
서울특별시,관악구,신림초등학교 운동장,서울특별시 관악구 신림동   418-20,1490,126.927565,37.477217
서울특별시,관악구,인헌초등학교 운동장,서울특별시 관악구 봉천동   212-3,4804,126.960237,37.476371
