"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6393999,"2018027","2723012400","27230001","대구광역시 북구1","대구광역시 북구 동천동(함지초교 부근)",3,3,0,1,2,0,128.55869730254,35.9348481306376,"{""type"":""Polygon"",""coordinates"":[[[128.56202261,35.93481876],[128.56201311,35.93505457],[128.56197838,35.93528881],[128.56191867,35.93551969],[128.56183444,35.93574547],[128.56172634,35.93596442],[128.56159519,35.93617487],[128.56144198,35.93637522],[128.56126788,35.93656396],[128.56107421,35.93673963],[128.56086246,35.93690091],[128.56063422,35.93704656],[128.56039124,35.93717549],[128.56013537,35.93728670],[128.55986855,35.93737935],[128.55959282,35.93745274],[128.55931028,35.93750630],[128.55902306,35.93753963],[128.55873337,35.93755248],[128.55844340,35.93754475],[128.55815537,35.93751649],[128.55787146,35.93746792],[128.55759384,35.93739941],[128.55732461,35.93731149],[128.55706583,35.93720482],[128.55681947,35.93708021],[128.55658741,35.93693862],[128.55637140,35.93678111],[128.55617309,35.93660890],[128.55599400,35.93642328],[128.55583548,35.93622567],[128.55569875,35.93601758],[128.55558483,35.93580059],[128.55549461,35.93557636],[128.55542875,35.93534658],[128.55538778,35.93511300],[128.55537199,35.93487741],[128.55538151,35.93464160],[128.55541627,35.93440736],[128.55547599,35.93417648],[128.55556024,35.93395071],[128.55566835,35.93373177],[128.55579952,35.93352132],[128.55595274,35.93332097],[128.55612684,35.93313225],[128.55632051,35.93295658],[128.55653227,35.93279531],[128.55676050,35.93264966],[128.55700347,35.93252075],[128.55725933,35.93240954],[128.55752613,35.93231690],[128.55780185,35.93224352],[128.55808438,35.93218996],[128.55837157,35.93215663],[128.55866124,35.93214378],[128.55895119,35.93215152],[128.55923921,35.93217977],[128.55952310,35.93222834],[128.55980070,35.93229684],[128.56006992,35.93238476],[128.56032868,35.93249142],[128.56057503,35.93261602],[128.56080709,35.93275761],[128.56102310,35.93291511],[128.56122140,35.93308731],[128.56140050,35.93327292],[128.56155903,35.93347052],[128.56169577,35.93367860],[128.56180970,35.93389559],[128.56189994,35.93411982],[128.56196581,35.93434960],[128.56200681,35.93458317],[128.56202261,35.93481876]]]}"
6394244,"2018027","2823710300","28237001","인천광역시 부평구1","인천광역시 부평구 산곡동(부곡초교 부근)",2,2,0,2,0,0,126.708614547924,37.5034303270489,"{""type"":""Polygon"",""coordinates"":[[[126.71200842,37.50345302],[126.71199303,37.50368859],[126.71195193,37.50392219],[126.71188542,37.50415205],[126.71179403,37.50437642],[126.71167843,37.50459359],[126.71153951,37.50480190],[126.71137833,37.50499978],[126.71119612,37.50518571],[126.71099426,37.50535829],[126.71077428,37.50551618],[126.71053787,37.50565821],[126.71028682,37.50578328],[126.71002304,37.50589044],[126.70974854,37.50597888],[126.70946541,37.50604792],[126.70917580,37.50609704],[126.70888192,37.50612586],[126.70858600,37.50613417],[126.70829031,37.50612190],[126.70799707,37.50608914],[126.70770854,37.50603615],[126.70742691,37.50596332],[126.70715432,37.50587122],[126.70689284,37.50576054],[126.70664446,37.50563212],[126.70641108,37.50548695],[126.70619447,37.50532613],[126.70599628,37.50515087],[126.70581802,37.50496253],[126.70566104,37.50476252],[126.70552654,37.50455237],[126.70541555,37.50433368],[126.70532890,37.50410812],[126.70526725,37.50387740],[126.70523109,37.50364328],[126.70522067,37.50340754],[126.70523608,37.50317197],[126.70527721,37.50293837],[126.70534373,37.50270851],[126.70543515,37.50248415],[126.70555076,37.50226699],[126.70568969,37.50205868],[126.70585087,37.50186081],[126.70603309,37.50167489],[126.70623496,37.50150232],[126.70645493,37.50134443],[126.70669133,37.50120241],[126.70694238,37.50107735],[126.70720614,37.50097020],[126.70748063,37.50088177],[126.70776374,37.50081273],[126.70805333,37.50076362],[126.70834719,37.50073479],[126.70864309,37.50072649],[126.70893876,37.50073876],[126.70923197,37.50077151],[126.70952048,37.50082450],[126.70980210,37.50089732],[126.71007468,37.50098942],[126.71033615,37.50110009],[126.71058451,37.50122850],[126.71081789,37.50137366],[126.71103450,37.50153448],[126.71123269,37.50170972],[126.71141096,37.50189806],[126.71156795,37.50209806],[126.71170246,37.50230820],[126.71181347,37.50252688],[126.71190014,37.50275244],[126.71196180,37.50298316],[126.71199799,37.50321728],[126.71200842,37.50345302]]]}"
6393992,"2018027","2823710100","28237002","인천광역시 부평구2","인천광역시 부평구 부평동(부원초교 부근)",2,2,0,1,1,0,126.718762914278,37.5034347894849,"{""type"":""Polygon"",""coordinates"":[[[126.72215680,37.50345719],[126.72214144,37.50369276],[126.72210037,37.50392637],[126.72203389,37.50415623],[126.72194253,37.50438061],[126.72182696,37.50459779],[126.72168807,37.50480612],[126.72152692,37.50500401],[126.72134473,37.50518996],[126.72114289,37.50536255],[126.72092294,37.50552046],[126.72068654,37.50566251],[126.72043551,37.50578760],[126.72017174,37.50589478],[126.71989725,37.50598325],[126.71961413,37.50605231],[126.71932453,37.50610145],[126.71903065,37.50613030],[126.71873473,37.50613864],[126.71843904,37.50612639],[126.71814580,37.50609366],[126.71785726,37.50604069],[126.71757562,37.50596789],[126.71730301,37.50587581],[126.71704151,37.50576515],[126.71679312,37.50563676],[126.71655972,37.50549161],[126.71634309,37.50533080],[126.71614488,37.50515556],[126.71596659,37.50496723],[126.71580958,37.50476724],[126.71567506,37.50455710],[126.71556403,37.50433842],[126.71547735,37.50411287],[126.71541568,37.50388215],[126.71537948,37.50364803],[126.71536903,37.50341229],[126.71538441,37.50317672],[126.71542550,37.50294312],[126.71549200,37.50271326],[126.71558338,37.50248888],[126.71569896,37.50227171],[126.71583786,37.50206339],[126.71599902,37.50186551],[126.71618122,37.50167957],[126.71638306,37.50150699],[126.71660301,37.50134908],[126.71683940,37.50120704],[126.71709042,37.50108195],[126.71735417,37.50097478],[126.71762865,37.50088632],[126.71791175,37.50081726],[126.71820134,37.50076812],[126.71849519,37.50073927],[126.71879109,37.50073094],[126.71908676,37.50074319],[126.71937998,37.50077592],[126.71966850,37.50082888],[126.71995012,37.50090167],[126.72022272,37.50099375],[126.72048420,37.50110440],[126.72073259,37.50123279],[126.72096598,37.50137793],[126.72118261,37.50153873],[126.72138083,37.50171396],[126.72155912,37.50190228],[126.72171614,37.50210227],[126.72185068,37.50231240],[126.72196172,37.50253107],[126.72204842,37.50275662],[126.72211011,37.50298733],[126.72214633,37.50322145],[126.72215680,37.50345719]]]}"
6394552,"2018027","2826010600","28260001","인천광역시 서구1","인천광역시 서구 연희동(청라초교 부근)",2,2,0,1,1,0,126.655016412678,37.5380001900576,"{""type"":""Polygon"",""coordinates"":[[[126.65841181,37.53802444],[126.65839624,37.53826000],[126.65835495,37.53849358],[126.65828825,37.53872341],[126.65819665,37.53894773],[126.65808084,37.53916484],[126.65794171,37.53937309],[126.65778031,37.53957089],[126.65759788,37.53975674],[126.65739580,37.53992921],[126.65717562,37.54008701],[126.65693899,37.54022892],[126.65668774,37.54035388],[126.65642376,37.54046091],[126.65614907,37.54054922],[126.65586576,37.54061813],[126.65557599,37.54066712],[126.65528195,37.54069581],[126.65498590,37.54070398],[126.65469007,37.54069157],[126.65439673,37.54065868],[126.65410811,37.54060555],[126.65382640,37.54053260],[126.65355375,37.54044038],[126.65329223,37.54032958],[126.65304384,37.54020105],[126.65281046,37.54005577],[126.65259387,37.53989485],[126.65239571,37.53971951],[126.65221751,37.53953108],[126.65206060,37.53933100],[126.65192620,37.53912080],[126.65181531,37.53890206],[126.65172878,37.53867647],[126.65166728,37.53844572],[126.65163127,37.53821159],[126.65162102,37.53797584],[126.65163661,37.53774029],[126.65167792,37.53750671],[126.65174464,37.53727688],[126.65183626,37.53705257],[126.65195208,37.53683546],[126.65209122,37.53662722],[126.65225262,37.53642943],[126.65243506,37.53624359],[126.65263714,37.53607112],[126.65285732,37.53591333],[126.65309394,37.53577143],[126.65334519,37.53564648],[126.65360915,37.53553945],[126.65388383,37.53545115],[126.65416712,37.53538224],[126.65445687,37.53533326],[126.65475089,37.53530457],[126.65504692,37.53529640],[126.65534272,37.53530881],[126.65563604,37.53534170],[126.65592464,37.53539482],[126.65620634,37.53546776],[126.65647897,37.53555998],[126.65674048,37.53567078],[126.65698887,37.53579930],[126.65722224,37.53594456],[126.65743883,37.53610548],[126.65763699,37.53628081],[126.65781520,37.53646923],[126.65797211,37.53666930],[126.65810653,37.53687950],[126.65821744,37.53709823],[126.65830398,37.53732382],[126.65836550,37.53755456],[126.65840154,37.53778870],[126.65841181,37.53802444]]]}"
6394553,"2018027","2915510600","29155001","광주광역시 남구1","광주광역시 남구 주월동(장산초교 부근)",2,2,0,1,1,0,126.895015277434,35.1301637066906,"{""type"":""Polygon"",""coordinates"":[[[126.89830793,35.13018010],[126.89829366,35.13041579],[126.89825445,35.13064957],[126.89819058,35.13087965],[126.89810255,35.13110429],[126.89799102,35.13132176],[126.89785684,35.13153042],[126.89770103,35.13172868],[126.89752479,35.13191503],[126.89732944,35.13208805],[126.89711648,35.13224642],[126.89688752,35.13238895],[126.89664432,35.13251453],[126.89638872,35.13262223],[126.89612266,35.13271121],[126.89584818,35.13278081],[126.89556735,35.13283049],[126.89528233,35.13285987],[126.89499527,35.13286873],[126.89470836,35.13285700],[126.89442379,35.13282478],[126.89414372,35.13277230],[126.89387029,35.13269997],[126.89360557,35.13260833],[126.89335158,35.13249809],[126.89311025,35.13237009],[126.89288342,35.13222529],[126.89267282,35.13206480],[126.89248005,35.13188984],[126.89230657,35.13170175],[126.89215371,35.13150195],[126.89202263,35.13129196],[126.89191432,35.13107339],[126.89182962,35.13084790],[126.89176916,35.13061720],[126.89173340,35.13038305],[126.89172263,35.13014723],[126.89173691,35.12991153],[126.89177614,35.12967775],[126.89184003,35.12944768],[126.89192807,35.12922305],[126.89203962,35.12900558],[126.89217381,35.12879693],[126.89232962,35.12859868],[126.89250587,35.12841234],[126.89270122,35.12823932],[126.89291418,35.12808096],[126.89314313,35.12793844],[126.89338632,35.12781286],[126.89364191,35.12770517],[126.89390796,35.12761619],[126.89418243,35.12754660],[126.89446323,35.12749692],[126.89474824,35.12746754],[126.89503528,35.12745868],[126.89532217,35.12747041],[126.89560672,35.12750263],[126.89588677,35.12755511],[126.89616019,35.12762743],[126.89642490,35.12771906],[126.89667888,35.12782929],[126.89692020,35.12795729],[126.89714702,35.12810208],[126.89735762,35.12826257],[126.89755040,35.12843752],[126.89772388,35.12862560],[126.89787675,35.12882540],[126.89800784,35.12903537],[126.89811616,35.12925394],[126.89820088,35.12947943],[126.89826136,35.12971013],[126.89829713,35.12994428],[126.89830793,35.13018010]]]}"
6394247,"2018027","2917011500","29170001","광주광역시 북구1","광주광역시 북구 오치동(오정초교 부근)",1,1,1,0,0,0,126.911560132095,35.1849368151828,"{""type"":""Polygon"",""coordinates"":[[[126.91484090,35.18495271],[126.91482673,35.18518740],[126.91478770,35.18542018],[126.91472411,35.18564928],[126.91463644,35.18587296],[126.91452535,35.18608952],[126.91439170,35.18629730],[126.91423649,35.18649473],[126.91406092,35.18668031],[126.91386631,35.18685261],[126.91365415,35.18701033],[126.91342605,35.18715227],[126.91318375,35.18727735],[126.91292909,35.18738462],[126.91266401,35.18747326],[126.91239053,35.18754259],[126.91211073,35.18759209],[126.91182673,35.18762139],[126.91154071,35.18763025],[126.91125484,35.18761861],[126.91097129,35.18758656],[126.91069222,35.18753434],[126.91041976,35.18746236],[126.91015598,35.18737115],[126.90990288,35.18726141],[126.90966240,35.18713399],[126.90943637,35.18698984],[126.90922649,35.18683007],[126.90903438,35.18665588],[126.90886149,35.18646862],[126.90870915,35.18626969],[126.90857850,35.18606063],[126.90847054,35.18584301],[126.90838610,35.18561849],[126.90832581,35.18538878],[126.90829014,35.18515564],[126.90827936,35.18492083],[126.90829355,35.18468614],[126.90833259,35.18445337],[126.90839620,35.18422427],[126.90848389,35.18400059],[126.90859499,35.18378404],[126.90872866,35.18357626],[126.90888387,35.18337884],[126.90905945,35.18319328],[126.90925406,35.18302098],[126.90946622,35.18286326],[126.90969431,35.18272133],[126.90993661,35.18259625],[126.91019126,35.18248899],[126.91045632,35.18240036],[126.91072979,35.18233103],[126.91100957,35.18228153],[126.91129354,35.18225224],[126.91157955,35.18224338],[126.91186540,35.18225502],[126.91214893,35.18228707],[126.91242798,35.18233928],[126.91270043,35.18241126],[126.91296420,35.18250247],[126.91321728,35.18261219],[126.91345776,35.18273961],[126.91368379,35.18288375],[126.91389366,35.18304352],[126.91408577,35.18321770],[126.91425866,35.18340495],[126.91441102,35.18360387],[126.91454168,35.18381293],[126.91464965,35.18403055],[126.91473411,35.18425506],[126.91479441,35.18448476],[126.91483010,35.18471790],[126.91484090,35.18495271]]]}"
6394554,"2018027","2920011800","29200001","광주광역시 광산구1","광주광역시 광산구 신창동(신창초교 부근)",2,2,0,1,1,0,126.840330874471,35.1987447252897,"{""type"":""Polygon"",""coordinates"":[[[126.84362625,35.19876263],[126.84361182,35.19899832],[126.84357241,35.19923207],[126.84350833,35.19946212],[126.84342007,35.19968671],[126.84330830,35.19990413],[126.84317387,35.20011272],[126.84301780,35.20031091],[126.84284128,35.20049717],[126.84264565,35.20067010],[126.84243240,35.20082837],[126.84220316,35.20097078],[126.84195967,35.20109626],[126.84170378,35.20120383],[126.84143744,35.20129270],[126.84116268,35.20136216],[126.84088159,35.20141171],[126.84059630,35.20144096],[126.84030900,35.20144969],[126.84002186,35.20143783],[126.83973708,35.20140547],[126.83945681,35.20135287],[126.83918320,35.20128041],[126.83891832,35.20118866],[126.83866419,35.20107830],[126.83842275,35.20095019],[126.83819583,35.20080529],[126.83798517,35.20064471],[126.83779235,35.20046966],[126.83761886,35.20028149],[126.83746601,35.20008163],[126.83733496,35.19987158],[126.83722671,35.19965297],[126.83714209,35.19942744],[126.83708174,35.19919671],[126.83704612,35.19896255],[126.83703549,35.19872673],[126.83704995,35.19849104],[126.83708937,35.19825729],[126.83715347,35.19802725],[126.83724174,35.19780266],[126.83735353,35.19758525],[126.83748797,35.19737666],[126.83764405,35.19717849],[126.83782058,35.19699223],[126.83801621,35.19681931],[126.83822945,35.19666104],[126.83845869,35.19651864],[126.83870217,35.19639317],[126.83895805,35.19628560],[126.83922437,35.19619675],[126.83949912,35.19612728],[126.83978019,35.19607774],[126.84006546,35.19604849],[126.84035274,35.19603976],[126.84063986,35.19605162],[126.84092463,35.19608397],[126.84120488,35.19613657],[126.84147848,35.19620902],[126.84174334,35.19630077],[126.84199746,35.19641112],[126.84223889,35.19653923],[126.84246580,35.19668412],[126.84267647,35.19684470],[126.84286928,35.19701973],[126.84304278,35.19720790],[126.84319564,35.19740776],[126.84332670,35.19761779],[126.84343496,35.19783640],[126.84351960,35.19806193],[126.84357997,35.19829265],[126.84361561,35.19852681],[126.84362625,35.19876263]]]}"
6394252,"2018027","3011010900","30110001","대전광역시 동구1","대전광역시 동구 용운동(푸른숲어린이집 부근)",1,1,1,0,0,0,127.452365766368,36.3275178655579,"{""type"":""Polygon"",""coordinates"":[[[127.45569848,36.32751915],[127.45568567,36.32775418],[127.45564759,36.32798741],[127.45558453,36.32821707],[127.45549697,36.32844141],[127.45538558,36.32865872],[127.45525121,36.32886735],[127.45509488,36.32906570],[127.45491778,36.32925228],[127.45472125,36.32942566],[127.45450679,36.32958451],[127.45427604,36.32972764],[127.45403075,36.32985395],[127.45377279,36.32996248],[127.45350412,36.33005241],[127.45322678,36.33012305],[127.45294289,36.33017385],[127.45265461,36.33020445],[127.45236413,36.33021459],[127.45207366,36.33020422],[127.45178541,36.33017339],[127.45150158,36.33012236],[127.45122433,36.33005150],[127.45095577,36.32996136],[127.45069794,36.32985263],[127.45045280,36.32972612],[127.45022222,36.32958281],[127.45000796,36.32942378],[127.44981164,36.32925024],[127.44963477,36.32906353],[127.44947868,36.32886505],[127.44934456,36.32865631],[127.44923344,36.32843891],[127.44914615,36.32821450],[127.44908337,36.32798480],[127.44904558,36.32775153],[127.44903305,36.32751649],[127.44904588,36.32728146],[127.44908398,36.32704823],[127.44914706,36.32681857],[127.44923463,36.32659424],[127.44934603,36.32637694],[127.44948042,36.32616832],[127.44963676,36.32596997],[127.44981387,36.32578340],[127.45001040,36.32561003],[127.45022485,36.32545118],[127.45045560,36.32530806],[127.45070088,36.32518175],[127.45095883,36.32507323],[127.45122749,36.32498331],[127.45150481,36.32491268],[127.45178868,36.32486187],[127.45207695,36.32483128],[127.45236741,36.32482114],[127.45265786,36.32483151],[127.45294608,36.32486233],[127.45322989,36.32491337],[127.45350713,36.32498422],[127.45377568,36.32507435],[127.45403350,36.32518308],[127.45427862,36.32530958],[127.45450920,36.32545289],[127.45472346,36.32561191],[127.45491977,36.32578543],[127.45509666,36.32597214],[127.45525275,36.32617062],[127.45538688,36.32637934],[127.45549802,36.32659674],[127.45558532,36.32682114],[127.45564812,36.32705085],[127.45568593,36.32728411],[127.45569848,36.32751915]]]}"
6394250,"2018027","3011011400","30110002","대전광역시 동구2","대전광역시 동구 가양동(동대전초교 부근)",1,1,1,0,0,0,127.448041228821,36.3520982301501,"{""type"":""Polygon"",""coordinates"":[[[127.45138632,36.35209964],[127.45137345,36.35233547],[127.45133521,36.35256949],[127.45127190,36.35279993],[127.45118401,36.35302502],[127.45107220,36.35324307],[127.45093732,36.35345240],[127.45078039,36.35365142],[127.45060262,36.35383862],[127.45040535,36.35401258],[127.45019009,36.35417197],[127.44995848,36.35431558],[127.44971227,36.35444231],[127.44945334,36.35455120],[127.44918367,36.35464142],[127.44890530,36.35471228],[127.44862035,36.35476325],[127.44833099,36.35479394],[127.44803943,36.35480411],[127.44774788,36.35479369],[127.44745857,36.35476275],[127.44717369,36.35471153],[127.44689541,36.35464042],[127.44662586,36.35454997],[127.44636708,36.35444085],[127.44612104,36.35431391],[127.44588961,36.35417010],[127.44567456,36.35401053],[127.44547753,36.35383640],[127.44530000,36.35364904],[127.44514335,36.35344988],[127.44500874,36.35324043],[127.44489722,36.35302229],[127.44480962,36.35279712],[127.44474662,36.35256662],[127.44470870,36.35233257],[127.44469614,36.35209673],[127.44470903,36.35186090],[127.44474729,36.35162688],[127.44481061,36.35139645],[127.44489852,36.35117136],[127.44501035,36.35095332],[127.44514524,36.35074400],[127.44530218,36.35054498],[127.44547995,36.35035778],[127.44567722,36.35018383],[127.44589248,36.35002445],[127.44612409,36.34988085],[127.44637029,36.34975413],[127.44662921,36.34964525],[127.44689887,36.34955503],[127.44717722,36.34948417],[127.44746215,36.34943321],[127.44775149,36.34940252],[127.44804303,36.34939235],[127.44833456,36.34940277],[127.44862385,36.34943371],[127.44890871,36.34948492],[127.44918697,36.34955603],[127.44945651,36.34964648],[127.44971528,36.34975559],[127.44996131,36.34988252],[127.45019273,36.35002632],[127.45040778,36.35018589],[127.45060482,36.35036001],[127.45078235,36.35054736],[127.45093901,36.35074652],[127.45107363,36.35095596],[127.45118517,36.35117409],[127.45127278,36.35139926],[127.45133579,36.35162975],[127.45137374,36.35186380],[127.45138632,36.35209964]]]}"
6394555,"2018027","3017011100","30170001","대전광역시 서구1","대전광역시 서구 갈마동(깨비나라어린이집 부근)",2,2,0,0,2,0,127.36626781321,36.3520662484595,"{""type"":""Polygon"",""coordinates"":[[[127.36961134,36.35206994],[127.36959822,36.35230565],[127.36955976,36.35253954],[127.36949624,36.35276983],[127.36940816,36.35299476],[127.36929617,36.35321262],[127.36916113,36.35342176],[127.36900407,36.35362059],[127.36882619,36.35380758],[127.36862883,36.35398132],[127.36841350,36.35414049],[127.36818185,36.35428387],[127.36793562,36.35441037],[127.36767670,36.35451904],[127.36740706,36.35460903],[127.36712874,36.35467967],[127.36684387,36.35473042],[127.36655462,36.35476090],[127.36626319,36.35477086],[127.36597179,36.35476025],[127.36568264,36.35472912],[127.36539795,36.35467773],[127.36511987,36.35460647],[127.36485054,36.35451587],[127.36459199,36.35440663],[127.36434620,36.35427958],[127.36411503,36.35413568],[127.36390025,36.35397603],[127.36370349,36.35380185],[127.36352625,36.35361446],[127.36336987,36.35341528],[127.36323555,36.35320584],[127.36312430,36.35298772],[127.36303699,36.35276260],[127.36297426,36.35253217],[127.36293659,36.35229820],[127.36292428,36.35206246],[127.36293742,36.35182675],[127.36297590,36.35159287],[127.36303944,36.35136258],[127.36312754,36.35113766],[127.36323955,36.35091980],[127.36337459,36.35071067],[127.36353166,36.35051185],[127.36370955,36.35032486],[127.36390691,36.35015113],[127.36412223,36.34999197],[127.36435389,36.34984859],[127.36460010,36.34972210],[127.36485901,36.34961344],[127.36512864,36.34952345],[127.36540694,36.34945282],[127.36569179,36.34940207],[127.36598102,36.34937160],[127.36627244,36.34936163],[127.36656382,36.34937225],[127.36685294,36.34940337],[127.36713762,36.34945475],[127.36741568,36.34952601],[127.36768500,36.34961661],[127.36794353,36.34972584],[127.36818932,36.34985289],[127.36842048,36.34999678],[127.36863526,36.35015642],[127.36883202,36.35033059],[127.36900927,36.35051798],[127.36916566,36.35071715],[127.36929999,36.35092658],[127.36941125,36.35114469],[127.36949858,36.35136981],[127.36956133,36.35160024],[127.36959901,36.35183421],[127.36961134,36.35206994]]]}"
