시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
전라북도,전주시 완산구,평화도서관,전라북도 전주시 완산구 평화14길 27-51 (평화동2가),2500,127.133954,35.791447,정찬필
전라북도,전주시 완산구,대정초등학교,전라북도 전주시 완산구 맏내로 57(평화동2가),9236,127.125421,35.785804,오진규
전라북도,전주시 완산구,용흥중학교,전라북도 전주시 완산구 장승배기로 12(삼천동1가),10671,127.113778,35.791591,이재학
전라북도,전주시 완산구,용와초등학교,전라북도 전주시 완산구 장승배기로 14(삼천동1가),8589,127.114901,35.791443,김순선
전라북도,전주시 완산구,중인초등학교,전라북도 전주시 완산구 중인1길 80(중인동),638,127.097606,35.771173,김정춘
전라북도,전주시 완산구,완산구청본관,전라북도 전주시 완산구 서원로 232(효자동1가),13476,127.119802,35.812154,송건오
전라북도,전주시 완산구,완산구청별관,전라북도 전주시 완산구 서원로 232(효자동1가),6362,127.119802,35.812154,송건오
전라북도,전주시 완산구,상산고등학교,전라북도 전주시 완산구 거마평로 130(효자동1가),10677,127.118602,35.804565,김연수
전라북도,전주시 완산구,효문초등학교,전라북도 전주시 완산구 거마평로 105(효자동1가),1427,127.116327,35.801766,백보기
전라북도,전주시 완산구,풍남중학교,전라북도 전주시 완산구 거마평로 83(효자동1가),685,127.11593,35.799829,안중환
전라북도,전주시 완산구,은화학교,전라북도 전주시 완산구 효자로 28-20 (효자동3가),2256,127.086378,35.819174,이윤기
전라북도,전주시 완산구,효자도서관,전라북도 전주시 완산구 우전로 181(효자동2가),3220,127.101139,35.813262,송호신
전라북도,전주시 완산구,동암재활학교,전라북도 전주시 완산구 천잠로 275(효자동3가),651,127.093283,35.810502,최재형
전라북도,전주시 완산구,우림중학교,전라북도 전주시 완산구 우전로 119(효자동2가),9664,127.099167,35.805203,구명선
전라북도,전주시 완산구,동암고등학교,전라북도 전주시 완산구 소태정4길 1(효자동2가),437,127.101166,35.806255,하도열
전라북도,전주시 완산구,우전초등학교,전라북도 전주시 완산구 우전2길 11(효자동2가),3320,127.106679,35.805494,김현숙
전라북도,전주시 덕진구,덕진구청본관,전라북도 전주시 덕진구 벚꽃로 55(진북동),12543,127.134562,35.829359,이승현
전라북도,전주시 덕진구,덕진구청별관,전라북도 전주시 덕진구 벚꽃로 55(진북동),601,127.134562,35.829359,이승현
전라북도,전주시 덕진구,전라초등학교,전라북도 전주시 덕진구 심방죽로 24(인후동1가),1508,127.152269,35.839305,정준량
전라북도,전주시 덕진구,인후2동주민센터,전라북도 전주시 덕진구 견훤왕궁로 244(인후동2가),700,127.146226,35.839919,국헤원
전라북도,전주시 덕진구,유화학교,전라북도 전주시 덕진구 모래내6길 26-16 (인후동2가),2582,127.14593,35.837357,심봉숙
전라북도,전주시 덕진구,전주여자고등학교,전라북도 전주시 덕진구 모래내6길 14(인후동2가),7193,127.146322,35.836296,홍화자
전라북도,전주시 덕진구,기린초등학교,전라북도 전주시 덕진구 견훤로 260(인후동1가),1687,127.159707,35.834692,신교덕
전라북도,전주시 덕진구,아중도서관,전라북도 전주시 덕진구 무삼지2길 7(인후동1가),2793,127.162638,35.82661,강춘자
전라북도,전주시 덕진구,인봉초등학교,전라북도 전주시 덕진구 무삼지로 7(인후동1가),861,127.164992,35.826936,황정연
전라북도,전주시 덕진구,중앙여고,전라북도 전주시 덕진구 석소로 25(인후동1가),1532,127.168768,35.8285,노윤길
전라북도,전주시 덕진구,금암2동주민센터,전라북도 전주시 덕진구 거북바우로 50(금암동),1180,127.143088,35.838544,양재영
전라북도,전주시 덕진구,기린중학교,전라북도 전주시 덕진구 동부대로 739(우아동3가),5643,127.156501,35.854613,김경희
전라북도,전주시,아중중학교,전라북도 전주시 덕진구 중상보로 16(우아동2가),11982,127.170416,35.832636,신미나
전라북도,전주시 덕진구,아중초등학교,전라북도 전주시 덕진구 인교5길 23(우아동1가),6437,127.17536,35.828032,최성문
전라북도,전주시 덕진구,건지도서관,전라북도 전주시 덕진구 호성로 25(호성동1가),1472,127.151675,35.85406,송승렬
전라북도,전주시 덕진구,호성동주민센터,전라북도 전주시 덕진구 동부대로 869(호성동1가),1852,127.149599,35.863717,손성희
전라북도,전주시 덕진구,만수초등학교,전라북도 전주시 덕진구 호성로 130(호성동1가),9315,127.147596,35.862759,설인섭
전라북도,전주시 덕진구,송천도서관,전라북도 전주시 덕진구 솔내로 212(송천동2가),3367,127.12811,35.869329,서예순
전라북도,전주시 덕진구,오송초등학교,전라북도 전주시 덕진구 천마산로 87(송천동2가),11367,127.13062,35.865985,구후남
전라북도,전주시 덕진구,솔빛중학교,전라북도 전주시 덕진구 솔내6길 33(송천동1가),4803,127.124389,35.8592,이기정
전라북도,전주시 덕진구,농수산물도매시장,전라북도 전주시 덕진구 동부대로 1177(송천동2가),26450,127.118025,35.868805,김근식
전라북도,전주시 덕진구,송천2동주민센터,전라북도 전주시 덕진구 두간9길 6(송천동1가),1486,127.115622,35.864895,서창문
전라북도,전주시 덕진구,용소중학교,전라북도 전주시 덕진구 송천로 112(송천동1가),10886,127.117584,35.862337,문경옥
전라북도,전주시 덕진구,조촌동주민센터,전라북도 전주시 덕진구 쪽구름로 150(반월동),1293,127.069192,35.87452,정아람
